,Image File,Classification,Sensor Type
0,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0021.png,high,BackdoorSensor
1,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0053.png,high,BackdoorSensor
2,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0058.png,high,BackdoorSensor
3,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0060.png,high,BackdoorSensor
4,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0044.png,high,BackdoorSensor
5,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0050.png,high,BackdoorSensor
6,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0020.png,high,BackdoorSensor
7,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0048.png,high,BackdoorSensor
8,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0026.png,high,BackdoorSensor
9,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0018.png,high,BackdoorSensor
10,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0010.png,high,BackdoorSensor
11,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0033.png,high,BackdoorSensor
12,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0041.png,high,BackdoorSensor
13,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0047.png,high,BackdoorSensor
14,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0014.png,high,BackdoorSensor
15,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0009.png,high,BackdoorSensor
16,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0049.png,high,BackdoorSensor
17,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0061.png,high,BackdoorSensor
18,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0030.png,high,BackdoorSensor
19,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0013.png,high,BackdoorSensor
20,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0063.png,high,BackdoorSensor
21,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0055.png,high,BackdoorSensor
