,Image File,Classification,Sensor Type
0,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0445.png,high,BackdoorSensor
1,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0094.png,high,BackdoorSensor
2,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0520.png,high,BackdoorSensor
3,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0170.png,high,BackdoorSensor
4,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0009.png,high,BackdoorSensor
5,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0433.png,high,BackdoorSensor
6,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0031.png,high,BackdoorSensor
7,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0481.png,high,BackdoorSensor
8,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0250.png,high,BackdoorSensor
9,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0351.png,high,BackdoorSensor
10,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0213.png,high,BackdoorSensor
11,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0210.png,high,BackdoorSensor
12,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0243.png,high,BackdoorSensor
13,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0544.png,high,BackdoorSensor
14,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0130.png,high,BackdoorSensor
15,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0357.png,high,BackdoorSensor
16,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0252.png,high,BackdoorSensor
17,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0113.png,high,BackdoorSensor
18,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0102.png,high,BackdoorSensor
19,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0181.png,high,BackdoorSensor
20,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0378.png,high,BackdoorSensor
21,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0482.png,high,BackdoorSensor
22,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0308.png,high,BackdoorSensor
23,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0373.png,high,BackdoorSensor
24,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0166.png,high,BackdoorSensor
25,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0527.png,high,BackdoorSensor
26,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0042.png,high,BackdoorSensor
27,/content/drive/MyDrive/Team_international_internship/network_traffic_classifier_project/final_image_classifier/Processed/BackdoorSensor/high_pr/backdoor-sensor_high_priority_traffic_b1_0514.png,high,BackdoorSensor
